[769, 300;
 1150, 669;
 1151, 668;
 1151, 667;
 1152, 666;
 1152, 665;
 1153, 664;
 1153, 663;
 1154, 662;
 1154, 661;
 1155, 660;
 1155, 659;
 1156, 658;
 1156, 657;
 1157, 656;
 1157, 655;
 1158, 654;
 1158, 653;
 1159, 652;
 1159, 651;
 1160, 650;
 1160, 649;
 1162, 647;
 1162, 646;
 1163, 645;
 1163, 644;
 1164, 643;
 1164, 642;
 1165, 641;
 1165, 640;
 1166, 639;
 1166, 638;
 1167, 637;
 1167, 636;
 1168, 635;
 1168, 634;
 1169, 633;
 1169, 632;
 1170, 631;
 1170, 630;
 1171, 629;
 1171, 628;
 1172, 627;
 1172, 626;
 1173, 625;
 1173, 624;
 1174, 623;
 1174, 622;
 1175, 621;
 1175, 620;
 1176, 619;
 1176, 618;
 1177, 617;
 1177, 616;
 1179, 614;
 1179, 613;
 1180, 612;
 1180, 611;
 1181, 610;
 1181, 609;
 1182, 608;
 1182, 607;
 1183, 606;
 1183, 605;
 1184, 604;
 1184, 603;
 1185, 602;
 1185, 601;
 1186, 600;
 1186, 599;
 1187, 598;
 1187, 597;
 1188, 596;
 1188, 595;
 1189, 594;
 1189, 593;
 1190, 592;
 1190, 591;
 1191, 590;
 1191, 589;
 1192, 588;
 1192, 587;
 1193, 586;
 1193, 585;
 1194, 584;
 1194, 583;
 1196, 581;
 1196, 580;
 1197, 579;
 1197, 578;
 1198, 577;
 1198, 576;
 1199, 575;
 1199, 574;
 1200, 573;
 1200, 572;
 1201, 571;
 1201, 570;
 1202, 569;
 1202, 568;
 1203, 567;
 1203, 566;
 1204, 565;
 1204, 564;
 1205, 563;
 1205, 562;
 1206, 561;
 1206, 560;
 1207, 559;
 1207, 558;
 1208, 557;
 1208, 556;
 1209, 555;
 1209, 554;
 1210, 553;
 1210, 552;
 1211, 551;
 1211, 550;
 1213, 548;
 1213, 547;
 1214, 546;
 1214, 545;
 1215, 544;
 1215, 543;
 1216, 542;
 1216, 541;
 1217, 540;
 1217, 539;
 1218, 538;
 1218, 537;
 1219, 536;
 1219, 535;
 1220, 534;
 1220, 533;
 1221, 532;
 1221, 531;
